1050,1,3,3.46,6.87,2.15,1.68,1050.jpg
1419,2,3,6.54,3.48,1.45,1.95,1419.jpg
1440,3,3,8.19,4.61,1.53,2.54,1440.jpg
1604,4,3,7.11,3.3,1.41,2.17,1604.jpg
2000,5,3,6.51,3.32,1.83,2.07,2000.jpg
2039,6,3,3.65,3.46,1.44,1.94,2039.jpg
2070,7,3,8.17,4.51,1.46,2.74,2070.jpg
2092,8,3,6.28,4.32,1.9,2.29,2092.jpg
2095,9,3,1.79,5.25,1.18,2.34,2095.jpg
2141,10,3,2.44,5.0,1.64,2.03,2141.jpg
2151,11,3,7.32,4.37,1.63,2.13,2151.jpg
2154,12,3,8.03,4.48,1.13,2.31,2154.jpg
2260,13,3,8.06,4.26,1.42,2.44,2260.jpg
2301,14,3,2.78,4.57,1.38,1.96,2301.jpg
2399,15,3,3.69,3.93,1.4,2.01,2399.jpg
2400,16,3,4.21,4.2,1.34,2.1,2400.jpg
2456,17,3,2.84,4.55,1.27,2.16,2456.jpg
2550,18,3,7.77,4.68,1.43,2.43,2550.jpg
2695,19,3,4.01,4.47,1.58,1.92,2695.jpg
2752,20,3,4.07,4.3,1.84,1.94,2752.jpg
2799,21,3,2.42,5.02,1.41,1.99,2799.jpg
2981,22,3,2.76,5.97,1.94,2.12,2981.jpg
4232,23,3,5.95,6.28,2.53,2.31,4232.jpg
4320,24,3,6.01,5.11,2.12,2.34,4320.jpg
4574,25,3,6.62,4.25,1.62,2.29,4574.jpg
4598,26,3,6.33,5.53,2.76,2.39,4598.jpg
4604,27,3,5.98,6.09,1.76,1.87,4604.jpg
4626,28,3,7.6,5.78,1.66,2.42,4626.jpg
4635,29,3,3.86,4.23,1.85,2.35,4635.jpg
4689,30,3,6.9,6.21,1.55,1.74,4689.jpg
5410,31,3,6.11,3.29,1.58,2.09,5410.jpg
5725,32,3,7.09,3.55,1.41,2.32,5725.jpg
5811,33,3,7.23,3.3,1.6,2.33,5811.jpg
5831,34,3,7.63,4.43,1.15,2.49,5831.jpg
5870,35,3,6.78,3.1,1.76,2.22,5870.jpg
5875,36,3,6.03,3.29,1.43,2.12,5875.jpg
5910,37,3,7.8,5.59,1.23,2.55,5910.jpg
5950,38,3,5.99,6.79,2.07,1.98,5950.jpg
5972,39,3,3.85,6.34,2.33,2.2,5972.jpg
6250,40,3,2.83,6.54,1.79,2.61,6250.jpg
6550,41,3,2.73,7.09,2.38,1.98,6550.jpg
7200,42,3,7.63,4.87,1.74,2.59,7200.jpg
7325,43,3,7.06,3.55,1.65,2.07,7325.jpg
7359,44,3,2.92,5.36,1.7,2.19,7359.jpg
7451,45,3,6.68,5.84,2.11,2.03,7451.jpg
7600,46,3,5.9,5.5,1.76,1.92,7600.jpg
8080,47,3,7.73,6.65,1.34,2.2,8080.jpg
8179,48,3,6.48,6.99,2.18,2.35,8179.jpg
8200,49,3,7.54,6.35,1.37,1.98,8200.jpg
8300,50,3,7.02,6.14,1.6,2.21,8300.jpg
8490,51,3,7.2,6.68,2.35,1.97,8490.jpg
8499,52,3,7.63,6.07,1.41,2.31,8499.jpg
8501,53,3,7.91,6.44,1.66,2.29,8501.jpg
8540,54,3,7.48,5.16,1.51,2.37,8540.jpg
9007,55,3,2.49,5.03,1.41,2.32,9007.jpg
9042,56,3,3.15,5.78,1.89,2.48,9042.jpg
9190,57,3,3.9,3.91,1.44,1.73,9190.jpg
9252,58,3,1.98,6.64,1.59,2.33,9252.jpg
9295,59,3,2.39,5.11,1.3,2.05,9295.jpg
9301,60,3,2.26,5.28,1.56,2.46,9301.jpg
9320,61,3,2.65,4.93,1.92,2.7,9320.jpg
9325,62,3,1.89,6.01,1.23,2.54,9325.jpg
9342,63,3,2.85,4.49,1.41,1.88,9342.jpg
9390,64,3,3.67,4.14,1.58,2.52,9390.jpg
9395,65,3,3.21,4.22,1.32,2.04,9395.jpg
9413,66,3,1.76,6.81,1.08,2.09,9413.jpg
9433,67,3,1.84,5.89,1.19,2.6,9433.jpg
9491,68,3,2.78,5.69,1.71,2.22,9491.jpg
9913,69,3,4.38,4.42,1.89,2.14,9913.jpg
9940,70,3,1.62,7.15,1.2,2.24,9940.jpg
